,Star_name,Distance,Mass,Radius,star_name,distance,mass,radius,gravity
73,KIC 8462852,1470,1.43,1.58,Luhman 16A,6.516,0.03818352,0.10379063,157.10819615734286
74,R136a1,163000,290.0,32.0,DENIS-P J1058.7−1548,49.0,0.061093632,0.102763,77.67388361648091
75,Melnick 42,163000,189.0,21.1,TWA 28,180.0,0.034365168,0.24560357,116.4324060911917
76,WR 102,18134,19.0,0.39,Cha 110913-773444,163.0,0.007636704,0.1849733999999999,34261.104981800825
77,VFTS 352,164000,57.48,14.47,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612,75.29335961731135
78,YBP 1194,2772,1.01,0.99,2MASS J11145133−2618235,18.2,0.031501404,0.0986524799999999,282.6363157577489
79,Gliese 1214,047.5,0.16,0.21,TWA 26,137.0,0.02863764,0.2260786,995.0808579032163
80,VB 10,018.72,0.075,0.1,2MASSW J1155395-372735 [de],31.0,0.061093632,0.102763,2057.0187109468043
81,TRAPPIST-1,039.6,0.089,0.12,2MASSI J1217110-031113 [de],36.0,0.040092696,0.0965972199999999,1695.1357895765334
82,2MASS J0523-1403,040.3,0.07,0.086,2M 1237+6526,45.6,0.039138108,0.0965972199999999,2595.841171196618
